id,title,author,filename,year
Pride_and_Prejudice,Pride and Prejudice,Jane Austen,Pride_and_Prejudice.txt,1813
Emma,Emma,Jane Austen,Emma.txt,1815
Jane_Eyre,Jane Eyre,Charlotte Brontë,Jane_Eyre.txt,1847
Wuthering_Heights,Wuthering Heights,Emily Brontë,Wuthering_Heights.txt,1847
Middlemarch,Middlemarch,George Eliot,Middlemarch.txt,1871
The_Mill_on_the_Floss,The Mill on the Floss,George Eliot,The_Mill_on_the_Floss.txt,1860
A_Vindication_of_the_Rights_of_Woman,A Vindication of the Rights of Woman,Mary Wollstonecraft,A_Vindication_of_the_Rights_of_Woman.txt,1792
Mary_A_Fiction,"Mary, A Fiction",Mary Wollstonecraft,Mary_A_Fiction.txt,1798
Woman_in_the_Nineteenth_Century,Woman in the Nineteenth Century,Margaret Fuller,Woman_in_the_Nineteenth_Century.txt,1845
Little_Women,Little Women,Louisa May Alcott,Little_Women.txt,1868
An_OldFashioned_Girl,An Old-Fashioned Girl,Louisa May Alcott,An_OldFashioned_Girl.txt,1869
The_Yellow_Wallpaper,The Yellow Wallpaper,Charlotte Perkins Gilman,The_Yellow_Wallpaper.txt,1892
Herland,Herland,Charlotte Perkins Gilman,Herland.txt,1915
The_Voyage_Out,The Voyage Out,Virginia Woolf,The_Voyage_Out.txt,1915
Mrs_Dalloway,Mrs Dalloway,Virginia Woolf,Mrs_Dalloway.txt,1925
The_Awakening,The Awakening,Kate Chopin,The_Awakening.txt,1899
Bayou_Folk,Bayou Folk,Kate Chopin,Bayou_Folk.txt,1894
The_Womans_Bible,The Woman's Bible,Elizabeth Cady Stanton,The_Womans_Bible.txt,1895
Eighty_Years_and_More,Eighty Years and More,Elizabeth Cady Stanton,Eighty_Years_and_More.txt,1898
Narrative_of_Sojourner_Truth,Narrative of Sojourner Truth,Sojourner Truth,Narrative_of_Sojourner_Truth.txt,1850
Strife_and_Peace,Strife and Peace,Fredrika Bremer,Strife_and_Peace.txt,1844
